order_id,payload,A_feasible,A_score,A_truck_dist,A_uav_dist,A_energy,A_time,A_completion_time,A_reward,A_penalty,B_feasible,B_score,B_truck_dist,B_uav_dist,B_energy,B_time,B_completion_time,B_wait,B_reward,B_launch,B_recover,B_failure_reason,C_feasible,C_best_score,C_best_drone,C_launch,C_recover,C_completion_time,C_reward,C_failure_reason,best_local_mode
ORD-B030DF3D-5,8.779288,True,49.67952349727386,3311.9682331515905,0.0,49.67952349727386,0.0,284.76678716550697,0.0,0.0,True,-342.4630086117346,3210.8559386074467,3280.73115101018,48.862480886539856,0.0,224.43543732444073,8.674510501725507,400.0,DEP-TEST-01,STA-TEST-09,,True,0.6996418074281475,UAV-TEST-09,DEP-TEST-01,STA-TEST-09,214.43543732444073,0.0,,B
ORD-B52013F1-17,1.427756,True,51.333693040092705,3422.2462026728467,0.0,51.333693040092705,0.0,293.24970789791126,0.0,0.0,True,-346.88855961516583,3083.5200661066733,3077.24224903907,46.806857110069075,0.0,221.07366636560317,6.304583274765079,400.0,DEP-TEST-01,STA-TEST-06,,True,0.12187983718536248,UAV-TEST-04,DEP-TEST-01,STA-TEST-06,170.83507383991358,0.0,,B
ORD-C3700E18-2,1.280509,True,43.80582750644053,2920.388500429369,0.0,43.80582750644053,0.0,254.64526926379762,0.0,0.0,True,-353.2839191973174,2674.4752926802644,2929.6387255206555,40.23049995551117,0.0,168.3582594220746,6.485580847171434,400.0,DEP-TEST-01,STA-TEST-03,,True,0.1129062045806359,UAV-TEST-04,DEP-TEST-01,STA-TEST-04,158.3582594220746,0.0,,B
ORD-CA4C84B1-8,1.530539,True,69.54406477744064,4636.270985162709,0.0,69.54406477744064,0.0,386.63622962790066,0.0,0.0,True,-346.9375021233239,3083.5200661066733,3968.9972584665916,46.40949964986933,0.0,211.45430716052795,6.6529982268067585,400.0,DEP-TEST-01,STA-TEST-06,,True,0.1372110203651735,UAV-TEST-04,DEP-TEST-01,STA-TEST-01,201.45430716052795,0.0,,B
ORD-D08A32AB-1,0.603898,True,68.75937692799768,4583.958461866512,0.0,68.75937692799768,0.0,382.6121893743471,0.0,0.0,True,-328.6492707188263,3083.5200661066733,4627.01174654299,46.41955083002254,0.0,228.65336783759872,24.931178451151183,400.0,DEP-TEST-01,STA-TEST-06,,True,0.13120873036477534,UAV-TEST-04,DEP-TEST-01,STA-TEST-01,218.65336783759872,0.0,,B
ORD-E484F83F-20,7.518544,True,12.465653934495329,831.0435956330219,0.0,12.465653934495329,0.0,93.92643043330938,0.0,0.0,True,-364.1113094064714,1174.8335980334714,1349.4324432169392,17.880582381024215,0.0,82.17260468071262,18.008108212504432,400.0,DEP-TEST-01,STA-TEST-07,,True,0.2312569756917511,UAV-TEST-09,DEP-TEST-01,DEP-TEST-01,72.17260468071262,0.0,,B
ORD-EA3CAACA-13,1.258283,True,42.73222715337974,2848.8151435586487,0.0,42.73222715337974,0.0,249.13962642758835,0.0,0.0,True,-353.9689679935475,2938.9671680139563,1970.063181520382,44.158345895093,0.0,199.8883359459145,1.8726861113594993,400.0,STA-TEST-07,STA-TEST-03,,True,0.10641030517695446,UAV-TEST-04,DEP-TEST-01,STA-TEST-03,144.83544189293144,0.0,,B
ORD-EA5DEA56-15,3.929362,True,14.416549714699492,961.1033143132995,0.0,14.416549714699492,0.0,103.93102417794611,0.0,0.0,True,-353.04753154839426,1287.219102604567,1731.6430708534533,19.616500087234993,0.0,74.02961231898794,27.335968364370757,400.0,DEP-TEST-01,STA-TEST-05,,True,0.17363450176719997,UAV-TEST-09,DEP-TEST-01,DEP-TEST-01,64.02961231898794,0.0,,B
ORD-F18196A7-14,2.378673,True,40.76874340145405,2717.9162267636034,0.0,40.76874340145405,0.0,239.07047898181565,0.0,0.0,True,-361.6538441917037,2198.802150909197,1806.9560362813527,33.31098646469417,0.0,144.55132858637157,5.035169343602121,400.0,DEP-TEST-01,STA-TEST-10,,True,0.07742592080584747,UAV-TEST-04,DEP-TEST-01,STA-TEST-10,111.31770001162232,0.0,,B
ORD-F923F8F8-18,1.530063,True,58.34144045164218,3889.4293634428113,0.0,58.34144045164218,0.0,329.1868741109855,0.0,0.0,True,-348.96968860880924,3210.8559386074467,3808.2338286294794,48.32012523146681,0.0,219.87401297859805,2.7101861597239463,400.0,DEP-TEST-01,STA-TEST-09,,True,0.15728615235510773,UAV-TEST-04,DEP-TEST-01,STA-TEST-09,209.87401297859805,0.0,,B
